var1,pmean,pvariance,pskewness,pkurtosis,pm,profit,price1,price2,p1,p2,t,corr1
0.26305210396528,0.96460649328428,0.00586962902991853,0.000101595497802579,8.91509519670668e-05,0.19,-13.7034103664273,0.740948587979725,0.965383256799717,1,2,1,0.352819548019321
0.2875076284889,0.929713756274449,0.00452659692797639,-3.82699352415259e-05,3.72021707606925e-05,0.03,-17.6841894461538,0.824347401805318,0.816319063300402,1,2,2,0.946410874594574
-0,1.01125723339379,0.011258654662459,0.00112068951353196,0.000383771176653658,0.12,25.5924263486557,1.34547069271758,1.12159141707644,1,2,3,0.686127707874641
0.279096392340141,0.95568610984782,0.00398813814972785,0.000219175936467014,4.63798691419533e-05,0.1,-17.5221077346518,0.832380114386274,0.800318852132324,1,2,4,0.712025449536956
0.16466969596258,0.90882386646468,0.00761655339278323,0.000271210501709075,0.000109161460137284,0.13,-2.11186034045194,0.939417989417989,0.982062780269058,1,2,5,0.663701622209016
0.0435063565925359,1.01078122476617,0.00116462664130558,6.76183932074338e-06,2.94966530310022e-06,0.02,1.26269489029491,1.01171128107075,1.00587703435805,1,2,8,0.705828446793533
0.103708887851039,1.02190678867229,0.00156293446728194,4.64752445997241e-05,6.5868304021324e-06,0.04,-3.86813004966345,0.910210850509358,1.00720072007201,1,2,9,0.582576649090633
0.29781080593262,0.905640816716292,0.00448971621395468,5.19117496422959e-05,2.8706250967031e-05,0.02,-18.7596821731834,0.823236296879098,0.798924731182796,1,2,12,0.952750095452423
-0,1.12829209878301,0.0029474189766676,-0.000155710050638517,2.59034109781711e-05,0.09,15.6709128893959,1.141266306077,1.13526244952894,1,2,13,0.313636466074809
0.129916597627454,0.997092892668787,0.00102393992184015,-9.78548036535523e-06,2.41992175796889e-06,0.04,-7.72828256467035,0.935600780596599,0.902135231316726,1,2,14,0.841479574469426
0.282750405162973,0.907126661392253,0.00654416454622803,6.03994306311075e-05,5.46718560808079e-05,0.1,-14.9688308566795,0.777081468218442,0.921104536489152,1,2,15,0.839281233172021
0.313401450454207,0.843373176660565,0.00859340855341986,0.000593171150600149,0.000148739693461073,0.2,-16.0922467443195,0.987617421007686,0.684363636363636,1,2,18,0.779408193805269
0.0284205274085425,1.06370189188209,0.00201053286364684,-3.54385121597513e-07,9.20910454215254e-06,0.07,4.5333008293032,0.964624676445211,1.11571125265393,1,2,19,0.519887287890797
